rank_by,cell_id,livability,gini_simpson,poi_total,growth_pct
livability_high,7812,83.7,1.0,2,0.0
livability_high,8980,82.8,1.0,3,0.0
livability_high,9034,82.7,1.0,2,0.0
livability_high,8060,82.6,1.0,2,-70.0
livability_high,8827,82.6,1.0,3,0.0
livability_high,8981,82.5,1.0,2,0.0
livability_high,7813,82.4,1.0,2,-35.29
livability_high,8979,82.4,1.0,3,0.0
livability_high,9035,82.3,1.0,2,0.0
livability_high,5233,82.2,1.0,3,-44.44
livability_high,8905,82.2,1.0,3,0.0
livability_high,5910,82.1,1.0,2,0.0
livability_high,3624,82.0,1.0,2,0.0
livability_high,8974,82.0,1.0,3,-4.0
livability_high,849,81.9,1.0,2,0.0
livability_high,1003,81.9,1.0,2,0.0
livability_high,2947,81.9,1.0,2,0.0
livability_high,994,81.8,1.0,2,0.0
livability_high,3063,81.8,1.0,2,0.0
livability_high,5909,81.8,1.0,2,0.0
growth_high,13,53.7,0.0,1,200.0
growth_high,33,55.5,0.0,1,200.0
growth_high,39,65.3,0.6,10,200.0
growth_high,40,59.6,0.5556,9,200.0
growth_high,41,69.4,0.75,8,200.0
growth_high,57,60.5,0.4727,11,200.0
growth_high,78,46.5,0.0,1,200.0
growth_high,82,68.1,0.614,19,200.0
growth_high,83,65.7,0.5948,18,200.0
growth_high,85,51.3,0.0,3,200.0
growth_high,113,62.7,0.5584,22,200.0
growth_high,130,58.1,0.4,5,200.0
growth_high,140,51.2,0.0,0,200.0
growth_high,142,62.7,0.3889,9,200.0
growth_high,148,67.2,0.5221,17,200.0
growth_high,157,78.9,1.0,2,200.0
growth_high,170,56.5,0.5385,13,200.0
growth_high,177,57.4,0.4163,29,200.0
growth_high,186,46.4,0.0,0,200.0
growth_high,203,63.6,0.3333,6,200.0
risk,78,46.5,0.0,1,200.0
risk,186,46.4,0.0,0,200.0
risk,247,44.4,0.0,0,200.0
risk,335,47.5,0.0,1,200.0
risk,484,49.7,0.3024,83,200.0
risk,621,48.9,0.0,2,200.0
risk,763,49.4,0.121,32,200.0
risk,874,49.8,0.4394,12,200.0
risk,875,48.4,0.3273,11,200.0
risk,881,48.7,0.0,0,200.0
risk,1030,48.2,0.4394,12,200.0
risk,1037,49.1,0.0,0,200.0
risk,1639,48.9,0.0,1,200.0
risk,1764,48.2,0.0,0,200.0
risk,1947,48.4,0.3182,12,200.0
risk,1970,48.0,0.0,2,200.0
risk,2216,49.4,0.0,0,200.0
risk,2329,49.6,0.1429,14,200.0
risk,2536,48.1,0.0,1,200.0
risk,2798,47.7,0.0,1,200.0
